ID,POINT_X,POINT_Y,NBR_ACC,ACC_2022,ACC_2023,FATAL_ACC,SEVERE_ACC,SEV3_ACC,SEV4_ACC,NBR_INJ,NBR_KILLED
306,-118.2471802,34.04034042,1,1,1,0,0,0,0,0,0
579,-118.2797098,34.06668854,1,1,1,0,0,0,0,0,0
763,-118.4332971,34.19393539,1,1,1,0,0,0,0,0,0
588,-118.4332971,34.19393539,1,1,1,0,0,0,0,0,0
926,-118.4268921,34.15761566,1,1,1,0,0,0,0,0,0
526,-118.4268921,34.15761566,1,1,1,0,0,0,0,0,0
39,-118.2739687,33.97659302,1,1,1,0,0,0,0,0,0
714,-118.2049986,34.09838104,1,1,1,0,0,0,0,0,0
43,-118.2997026,34.05262375,1,1,1,0,1,0,0,1,0
731,-118.2813292,33.97745514,1,1,1,0,0,0,0,0,0
858,-118.2751957,33.79506683,1,1,1,0,0,0,0,0,0
319,-118.2751957,33.79506683,1,1,1,0,0,0,0,0,0
432,-118.3241333,34.02964401,1,1,1,0,0,0,0,0,0
836,-118.3576221,34.0324173,1,1,1,0,0,0,0,0,0
191,-118.3046722,33.96272659,1,1,1,0,0,0,0,0,0
393,-118.3046722,33.96272659,1,1,1,0,0,0,0,0,0
786,-118.2874742,33.97363663,1,1,1,0,0,0,0,0,0
626,-118.2897381,34.07336807,1,1,1,0,0,0,0,0,0
241,-118.3091421,34.07072449,1,1,1,0,0,0,0,0,0
44,-118.5907722,34.25587463,1,1,1,0,0,0,0,0,0
751,-118.2393222,34.06033325,1,1,1,0,0,0,0,1,0
14,-118.3877922,34.2251358,1,1,1,0,1,0,0,1,0
778,-118.3877922,34.2251358,1,1,1,0,1,0,0,1,0
800,-118.4037276,34.02901077,1,1,1,0,0,0,0,0,0
966,-118.4037276,34.02901077,1,1,1,0,0,0,0,0,0
220,-118.2842121,34.05144501,1,1,1,0,0,0,0,0,0
813,-118.3358161,34.04438019,1,1,1,0,0,0,0,0,0
854,-118.3358161,34.04438019,1,1,1,0,0,0,0,0,0
668,-118.5012322,34.08032608,1,1,1,0,0,0,0,0,0
449,-118.5012322,34.08032608,1,1,1,0,0,0,0,0,0
663,-118.3401963,34.10424042,1,1,1,0,0,0,0,0,0
49,-118.3324921,34.09798431,1,1,1,0,0,0,0,2,0
122,-118.4591161,34.03136444,1,1,1,0,0,0,0,0,0
565,-118.4591161,34.03136444,1,1,1,0,0,0,0,0,0
988,-118.3749595,33.94361877,1,1,1,0,0,0,0,0,0
802,-118.3614422,34.07049942,1,1,1,0,0,0,0,1,0
741,-118.3614422,34.07049942,1,1,1,0,0,0,0,1,0
